assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,gameweek,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,15,0,1.8,610,0.01,0.01,0.0,3.08,112,3,0,2.2,20.4,2023-11-12 14:00:00+00:00,90,2,0,0,0,0,12,0,19790,1,1,3,0.0,1,173,783,610,44,False,0,2,Calvin Bassey,10,12,AVL,1140,1180,FUL,1180,1170,1,2023
0,0,11,0,0.5,610,0.0,0.0,0.0,1.41,124,2,0,1.2,11.0,2023-11-27 20:00:00+00:00,90,20,0,0,0,0,13,0,20008,1,2,3,0.0,1,83,676,593,44,True,0,2,Calvin Bassey,10,13,WOL,1105,1100,FUL,1050,1060,1,2023
0,0,11,0,0.3,610,0.0,0.0,0.0,2.22,136,4,0,1.5,14.4,2023-12-03 14:00:00+00:00,90,11,0,0,0,0,14,0,19806,1,3,4,0.0,0,-208,313,521,44,False,0,2,Calvin Bassey,10,14,LIV,1210,1270,FUL,1180,1170,1,2023
0,0,27,1,1.3,610,0.02,0.02,0.0,0.29,145,0,0,1.7,13.4,2023-12-06 19:30:00+00:00,90,16,0,0,0,0,15,0,19901,1,0,5,2.0,6,43,405,362,44,True,0,2,Calvin Bassey,10,15,NFO,1125,1080,FUL,1050,1060,1,2023
0,0,30,1,0.6,610,0.01,0.01,0.0,1.39,155,0,0,2.0,19.4,2023-12-10 14:00:00+00:00,90,19,0,0,0,0,16,0,20285,1,0,5,0.0,6,313,592,279,44,True,0,2,Calvin Bassey,10,16,WHU,1140,1150,FUL,1050,1060,1,2023
0,0,0,0,0.0,610,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,2023-12-16 15:00:00+00:00,0,15,0,0,0,0,17,0,21671,0,0,3,0.0,0,1173,1582,409,44,False,0,2,Calvin Bassey,10,17,NEW,1050,1160,FUL,1180,1170,1,2023
0,0,11,0,1.8,610,0.01,0.01,0.0,0.41,173,2,0,1.9,15.2,2023-12-23 15:00:00+00:00,90,6,0,0,0,0,18,0,22704,1,2,0,2.0,0,646,1241,595,44,True,1,2,Calvin Bassey,10,18,BUR,1050,1050,FUL,1050,1060,1,2023
0,0,18,0,11.7,610,0.03,0.03,0.0,1.82,182,3,0,4.3,31.4,2023-12-26 15:00:00+00:00,90,3,0,0,0,0,19,0,22002,1,0,3,0.0,1,-381,425,806,44,False,0,2,Calvin Bassey,10,19,BOU,1055,1145,FUL,1180,1170,1,2023
0,0,13,0,1.8,610,0.01,0.01,0.0,1.64,193,1,0,2.3,20.8,2023-12-31 14:00:00+00:00,90,1,0,0,0,0,20,0,21291,1,1,2,0.0,1,-731,204,935,44,True,1,2,Calvin Bassey,10,20,ARS,1370,1360,FUL,1050,1060,1,2023
0,0,0,0,0.0,610,0.0,0.0,0.0,0.0,206,0,0,0.0,0.0,2024-01-13 12:30:00+00:00,0,7,0,0,0,0,21,0,18668,0,0,1,0.0,0,-2537,150,2687,44,False,0,2,Calvin Bassey,10,21,CHE,1080,1170,FUL,1180,1170,1,2023
0,0,0,0,0.0,610,0.0,0.0,0.0,0.0,213,0,0,0.0,0.0,2024-01-30 19:45:00+00:00,0,9,0,0,0,0,22,0,17773,0,0,0,0.0,0,-1018,58,1076,44,True,0,2,Calvin Bassey,10,22,EVE,1125,1080,FUL,1050,1060,1,2023
0,0,0,0,0.0,610,0.0,0.0,0.0,0.0,225,0,0,0.0,0.0,2024-02-03 15:00:00+00:00,0,6,0,0,0,0,23,0,17460,0,2,2,0.0,0,-359,30,389,44,False,0,2,Calvin Bassey,10,23,BUR,1050,1040,FUL,1180,1170,1,2023
0,0,0,0,0.0,610,0.0,0.0,0.0,0.0,233,0,0,0.0,0.0,2024-02-10 15:00:00+00:00,0,3,0,0,0,0,24,0,17016,0,1,3,0.0,0,-444,56,500,44,True,0,2,Calvin Bassey,10,24,BOU,1130,1075,FUL,1050,1060,1,2023
0,0,5,0,0.2,610,0.0,0.0,0.0,0.0,244,0,0,0.3,2.8,2024-02-17 15:00:00+00:00,14,2,0,0,0,0,25,0,16977,0,2,1,0.0,1,-44,310,354,44,True,0,2,Calvin Bassey,10,25,AVL,1220,1350,FUL,1050,1060,1,2023
0,2,25,0,0.8,610,0.0,0.18,0.18,1.67,258,1,1,6.7,44.0,2024-02-24 15:00:00+00:00,90,14,0,0,0,0,26,0,17554,1,2,1,22.0,10,412,658,246,44,False,0,2,Calvin Bassey,10,26,MUN,1130,1120,FUL,1180,1170,1,2023
0,0,26,1,0.2,610,0.0,0.0,0.0,1.17,264,0,0,1.0,9.4,2024-03-02 15:00:00+00:00,90,5,0,0,0,0,27,0,21733,1,0,3,0.0,6,3869,4223,354,44,True,0,2,Calvin Bassey,10,27,BHA,1180,1240,FUL,1050,1060,1,2023
0,1,21,0,0.6,610,0.0,0.0,0.0,0.83,280,2,0,2.6,25.0,2024-03-09 15:00:00+00:00,90,20,0,0,0,0,28,0,31071,1,1,2,0.0,2,8836,9825,989,44,False,0,2,Calvin Bassey,10,28,WOL,1085,1115,FUL,1180,1170,1,2023
0,0,22,1,0.2,610,0.0,0.11,0.11,2.37,286,0,0,1.7,7.4,2024-03-16 17:30:00+00:00,90,18,0,0,0,0,29,0,164847,1,0,3,9.0,6,22538,24911,2373,44,True,0,2,Calvin Bassey,10,29,TOT,1150,1310,FUL,1050,1060,1,2023
0,0,10,0,1.3,610,0.01,0.04,0.03,1.87,299,3,0,2.4,18.6,2024-03-30 15:00:00+00:00,90,17,0,0,0,0,30,0,58642,1,3,3,4.0,0,5593,9973,4380,44,False,1,2,Calvin Bassey,10,30,SHU,1045,1020,FUL,1180,1170,1,2023
0,0,19,0,4.2,610,0.03,0.03,0.0,1.51,305,3,0,3.3,28.8,2024-04-02 18:30:00+00:00,90,16,0,0,0,0,31,0,56684,1,1,3,0.0,1,-1969,1569,3538,44,False,0,2,Calvin Bassey,10,31,NFO,1050,1080,FUL,1180,1170,1,2023
0,0,15,0,1.8,610,0.01,0.01,0.0,0.59,315,1,0,1.5,11.6,2024-04-06 14:00:00+00:00,90,15,0,0,0,0,32,0,52807,1,1,0,2.0,2,-3931,891,4822,44,True,0,2,Calvin Bassey,10,32,NEW,1210,1355,FUL,1050,1060,1,2023
0,1,29,1,0.3,610,0.0,0.0,0.0,0.93,330,0,0,2.9,28.8,2024-04-14 13:00:00+00:00,90,19,0,0,0,0,33,0,49915,1,2,0,0.0,7,-3030,618,3648,44,False,0,2,Calvin Bassey,10,33,WHU,1055,1150,FUL,1180,1170,1,2023
0,0,13,0,0.0,610,0.0,0.0,0.0,1.02,335,3,0,1.1,11.0,2024-04-21 15:30:00+00:00,90,11,0,0,0,0,34,0,47727,1,3,1,0.0,1,-1464,1268,2732,44,True,0,2,Calvin Bassey,10,34,LIV,1350,1390,FUL,1050,1060,1,2023
0,0,15,0,0.3,610,0.0,0.0,0.0,1.01,344,1,0,1.5,14.4,2024-04-27 14:00:00+00:00,90,8,0,0,0,0,35,0,47670,1,1,1,0.0,2,-1001,1226,2227,44,True,0,2,Calvin Bassey,10,35,CRY,1120,1085,FUL,1050,1060,1,2023
0,0,27,1,0.9,610,0.01,0.01,0.0,0.63,352,0,0,2.3,21.8,2024-05-04 14:00:00+00:00,90,4,0,0,0,0,36,0,47119,1,0,0,0.0,5,-713,949,1662,44,False,1,2,Calvin Bassey,10,36,BRE,1110,1090,FUL,1180,1170,1,2023
0,0,13,0,0.2,610,0.0,0.0,0.0,3.25,364,4,0,1.3,12.8,2024-05-11 11:30:00+00:00,90,13,0,0,0,0,37,0,44522,1,4,0,0.0,0,-2333,1445,3778,44,True,0,2,Calvin Bassey,10,37,MCI,1360,1370,FUL,1050,1060,1,2023
0,0,12,0,0.6,610,0.0,0.0,0.0,2.11,378,2,0,0.7,6.6,2024-05-19 15:00:00+00:00,90,12,0,0,0,0,38,0,44283,1,4,2,0.0,1,-595,1462,2057,44,False,0,2,Calvin Bassey,10,38,LUT,1020,1090,FUL,1180,1170,1,2023
