id,first_name,second_name,position,value,team_id,penalties_order
137,Jakub,Moder,MID,44,5,
140,Cameron,Peupion,MID,44,5,
141,Jeremy,Sarmiento Morante,MID,49,5,
149,Mats,Wieffer,MID,47,5,
595,Brajan,Gruda,MID,54,5,
600,Yasin,Ayari,MID,50,5,
601,Andrew,Moran,MID,50,5,
618,Georginio,Rutter,MID,55,5,
629,Matt,O'Riley,MID,55,5,
150,Andrey,Nascimento dos Santos,MID,45,6,
151,Ângelo Gabriel,Borges Damaceno,MID,45,6,
157,Moisés,Caicedo Corozo,MID,49,6,
158,Cesare,Casadei,MID,44,6,
161,Carney,Chukwuemeka,MID,48,6,
166,Kiernan,Dewsbury-Hall,MID,55,6,
168,Enzo,Fernández,MID,51,6,4.0
169,Conor,Gallagher,MID,59,6,
173,Omari,Kellyman,MID,44,6,
174,Roméo,Lavia,MID,45,6,
177,Noni,Madueke,MID,63,6,3.0
179,Mykhailo,Mudryk,MID,62,6,
181,Christopher,Nkunku,MID,58,6,2.0
182,Cole,Palmer,MID,112,6,1.0
184,Renato,Palma Veiga,MID,45,6,
386,Jadon,Sancho,MID,62,6,
560,Pedro,Lomba Neto,MID,62,6,
621,João,Félix Sequeira,MID,60,6,
695,Samuel,Rak-Sakyi,MID,45,6,
696,Tyrique,George,MID,45,6,
190,Naouirou,Ahamada,MID,45,7,
193,Cheick,Doucouré,MID,49,7,
197,Malcolm,Ebiowei,MID,45,7,
199,Eberechi,Eze,MID,66,7,2.0
203,Will,Hughes,MID,49,7,
205,Daichi,Kamada,MID,51,7,
206,Jefferson,Lerma Solís,MID,48,7,
208,Matheus,França de Oliveira,MID,44,7,
212,David,Ozoh,MID,45,7,
213,Jesurun,Rak-Sakyi,MID,45,7,
214,Jeffrey,Schlupp,MID,47,7,
216,Adam,Wharton,MID,47,7,
585,Ismaïla,Sarr,MID,57,7,
644,Franco,Umeh-Chibueze,MID,44,7,
645,Justin,Devenny,MID,45,7,
646,Asher,Agbinone,MID,45,7,
647,Kaden,Rodney,MID,45,7,
217,Abdoulaye,Doucouré,MID,51,8,
222,Idrissa,Gueye,MID,48,8,
223,James,Garner,MID,49,8,
224,Jack,Harrison,MID,52,8,
226,Tim,Iroegbunam,MID,44,8,
230,Dwight,McNeil,MID,53,8,
577,Jesper,Lindstrøm,MID,51,8,
603,Harrison,Armstrong,MID,45,8,
614,Jenson,Metcalfe,MID,45,8,
651,Orel,Mangala,MID,50,8,
678,Callum,Bates,MID,45,8,
10,Reiss,Nelson,MID,50,9,
19,Emile,Smith Rowe,MID,54,9,
239,Adama,Traoré,MID,47,9,
240,Andreas,Hoelgebaum Pereira,MID,50,9,1.0
243,Tom,Cairney,MID,48,9,
246,Luke,Harris,MID,45,9,
247,Alex,Iwobi,MID,58,9,
249,Saša,Lukić,MID,48,9,3.0
254,Harrison,Reed,MID,47,9,
259,Harry,Wilson,MID,52,9,
604,Josh,King,MID,45,9,
605,Martial,Godo,MID,45,9,
622,Sander,Berge,MID,50,9,
262,Nathan,Broadhead,MID,49,10,3.0
264,Wes,Burns,MID,48,10,
265,Conor,Chaplin,MID,51,10,
271,Marcus,Myers-Harness,MID,49,10,
273,Cameron,Humphreys,MID,45,10,
274,Omari,Giraud-Hutchinson,MID,52,10,
277,Massimo,Luongo,MID,44,10,
278,Sam,Morsy,MID,49,10,
281,Jack,Taylor,MID,48,10,
359,Kalvin,Phillips,MID,48,10,
611,Sam,Szmodics,MID,58,10,
619,Jens,Cajuste,MID,45,10,
631,Jack,Clarke,MID,55,10,
632,Chiedozie,Ogbene,MID,49,10,
117,Facundo,Buonanotte,MID,49,11,
192,Jordan,Ayew,MID,52,11,2.0
285,Boubakary,Soumaré,MID,44,11,
287,Hamza,Choudhury,MID,43,11,
290,Bobby,De Cordova-Reid,MID,52,11,
292,Michael,Golding,MID,44,11,
297,Wanya,Marçal-Madivádua,MID,45,11,
298,Stephy,Mavididi,MID,52,11,4.0
299,Kasey,McAteer,MID,47,11,
300,Wilfred,Ndidi,MID,50,11,
309,Harry,Winks,MID,45,11,
501,Oliver,Skipp,MID,48,11,
570,Abdul,Fatawu,MID,52,11,
606,Will,Alves,MID,45,11,
635,Bilal,El Khannouss,MID,48,11,
694,Henry,Cartwright,MID,45,11,
312,Stefan,Bajčetić Maquieira,MID,45,12,
315,Bobby,Clark,MID,45,12,
317,Diogo,Teixeira da Silva,MID,72,12,
318,Ben,Doak,MID,45,12,
319,Harvey,Elliott,MID,52,12,
320,Endo,Wataru,MID,46,12,
323,Ryan,Gravenberch,MID,50,12,
324,Curtis,Jones,MID,53,12,
327,Luis,Díaz,MID,74,12,
328,Mohamed,Salah,MID,135,12,2.0
329,Alexis,Mac Allister,MID,62,12,
330,James,McConnell,MID,44,12,
331,Tyler,Morton,MID,44,12,
336,Dominik,Szoboszlai,MID,63,12,
636,Federico,Chiesa,MID,68,12,
688,Treymaurice,Nyoni,MID,45,12,
342,Bernardo,Veiga de Carvalho e Silva,MID,63,13,
343,Oscar,Bobb,MID,47,13,
345,Kevin,De Bruyne,MID,95,13,4.0
346,Jérémy,Doku,MID,62,13,
348,Phil,Foden,MID,91,13,
349,Jack,Grealish,MID,64,13,
354,Mateo,Kovačić,MID,54,13,
356,Matheus Luiz,Nunes,MID,49,13,
357,James,McAtee,MID,46,13,
360,Rodrigo 'Rodri',Hernandez,MID,63,13,
571,Sávio 'Savinho',Moreira de Oliveira,MID,64,13,
607,Nico,O'Reilly,MID,49,13,
625,Ilkay,Gündogan,MID,65,13,
671,Jacob,Wright,MID,45,13,
364,Amad,Diallo,MID,53,14,
365,Antony Matheus,dos Santos,MID,57,14,
366,Bruno,Borges Fernandes,MID,84,14,1.0
368,Carlos Henrique,Casimiro,MID,48,14,
370,Christian,Eriksen,MID,53,14,
372,Alejandro,Garnacho,MID,61,14,
373,Hannibal,Mejbri,MID,45,14,
378,Kobbie,Mainoo,MID,52,14,
381,Scott,McTominay,MID,49,14,
382,Mason,Mount,MID,63,14,
384,Facundo,Pellistri Rebollo,MID,50,14,
385,Marcus,Rashford,MID,67,14,3.0
613,Toby,Collyer,MID,45,14,
652,Manuel,Ugarte,MID,49,14,
667,Jack,Fletcher,MID,45,14,
673,Jayce,Fitzgerald,MID,45,14,
391,Miguel,Almirón Rejala,MID,55,15,
392,Harvey,Barnes,MID,61,15,
394,Bruno,Guimarães Rodriguez Moura,MID,61,15,
398,Anthony,Gordon,MID,72,15,3.0
400,Isaac,Hayden,MID,44,15,
402,Jacob,Murphy,MID,49,15,
403,Joelinton Cássio,Apolinário de Lira,MID,60,15,
406,Garang,Kuol,MID,44,15,
410,Sean,Longstaff,MID,47,15,
411,Lewis,Miley,MID,50,15,
417,Sandro,Tonali,MID,55,15,
419,Joe,White,MID,45,15,
420,Joe,Willock,MID,48,15,
423,Elliot,Anderson,MID,50,16,
426,Josh,Bowler,MID,45,16,
428,Eric,da Silva Moreira,MID,44,16,
429,Danilo,dos Santos de Oliveira,MID,47,16,
431,Nicolás,Domínguez,MID,48,16,
432,Anthony,Elanga,MID,51,16,
433,Morgan,Gibbs-White,MID,63,16,2.0
434,Callum,Hudson-Odoi,MID,53,16,
435,Alex,Mighten,MID,45,16,
439,Lewis,O'Brien,MID,50,16,
442,Ibrahim,Sangaré,MID,44,16,
449,Ryan,Yates,MID,49,16,
531,James,Ward-Prowse,MID,62,16,
596,João Pedro,Ferreira Silva,MID,59,16,
620,Ramón,Sosa,MID,55,16,
188,Lesley,Ugochukwu,MID,45,17,
397,Ryan,Fraser,MID,48,17,
450,Carlos,Alcaraz Durán,MID,49,17,
451,Samuel,Amo-Ameyaw,MID,44,17,
452,Joe,Aribo,MID,49,17,
458,Shea,Charles,MID,45,17,
459,Samuel,Edozie,MID,49,17,
462,Kamaldeen,Sulemana,MID,50,17,
463,Adam,Lallana,MID,50,17,
471,Will,Smallbone,MID,50,17,
515,Maxwel,Cornet,MID,47,17,
518,Flynn,Downes,MID,48,17,
584,Ben,Brereton Díaz,MID,49,17,
608,Tyler,Dibling,MID,45,17,
623,Mateus Gonçalo,Espanha Fernandes,MID,50,17,
693,Joseph,O'Brien-Whitmarsh,MID,45,17,
480,Rodrigo,Bentancur,MID,49,18,
481,Lucas,Bergvall,MID,44,18,
482,Yves,Bissouma,MID,49,18,
483,Bryan,Gil Salvatierra,MID,50,18,
485,Alfie,Devine,MID,45,18,
489,Archie,Gray,MID,46,18,
490,Pierre-Emile,Højbjerg,MID,50,18,
491,Brennan,Johnson,MID,66,18,
492,Dejan,Kulusevski,MID,63,18,
493,Giovani,Lo Celso,MID,49,18,
494,James,Maddison,MID,76,18,2.0
499,Pape Matar,Sarr,MID,48,18,
502,Manor,Solomon,MID,54,18,
503,Son,Heung-min,MID,98,18,1.0
509,Timo,Werner,MID,62,18,
610,Mikey,Moore,MID,45,18,
612,Wilson,Odobert,MID,53,18,
683,Callum,Olusesi,MID,45,18,
689,Luca,Williams-Barnett,MID,45,18,
511,Edson,Álvarez Velázquez,MID,50,19,
514,Jarrod,Bowen,MID,75,19,4.0
519,George,Earthy,MID,45,19,
525,Mohammed,Kudus,MID,62,19,
526,Luis Guilherme,Lira dos Santos,MID,47,19,
527,Lucas,Tolentino Coelho de Lima,MID,57,19,1.0
530,Tomáš,Souček,MID,49,19,
576,Andy,Irving,MID,48,19,
587,Crysencio,Summerville,MID,56,19,
588,Guido,Rodríguez,MID,48,19,
654,Carlos,Soler,MID,50,19,
701,Lewis,Orford,MID,45,19,
534,Boubacar,Traoré,MID,48,20,
535,Jean-Ricner,Bellegarde,MID,50,20,
537,Francisco Jorge,Tomás Oliveira,MID,45,20,
538,Tawanda,Chirewa,MID,45,20,
540,Luke,Cundle,MID,45,20,
544,Tommy,Doyle,MID,48,20,
547,Enso,González,MID,44,20,
548,Gonçalo Manuel,Ganchinho Guedes,MID,53,20,
550,Hwang,Hee-chan,MID,61,20,1.0
551,Joe,Hodge,MID,45,20,
553,João Victor,Gomes da Silva,MID,49,20,
557,Mario,Lemina,MID,50,20,
562,Daniel,Castelo Podence,MID,55,20,
563,Rodrigo,Martins Gomes,MID,52,20,
565,Pablo,Sarabia,MID,51,20,2.0
642,André,Trindade da Costa Neto,MID,50,20,
655,Carlos Roberto,Forbs Borges,MID,55,20,
682,Tom,Edozie,MID,45,20,
