assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,132,0,0,0.0,0.0,2023-12-03 14:00:00+00:00,0,2,0,0,0,0,14,0,924,0,2,2,0.0,0,-9,0,9,49,True,0,3,Jamal Lowe,3,AVL,1220,1350,BOU,1055,1145,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,143,0,0,0.0,0.0,2023-12-06 19:30:00+00:00,0,8,0,0,0,0,15,0,920,0,2,0,0.0,0,-5,0,5,49,False,0,3,Jamal Lowe,3,CRY,1080,1060,BOU,1130,1075,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,157,0,0,0.0,0.0,2023-12-09 15:00:00+00:00,0,14,0,0,0,0,16,0,916,0,3,0,0.0,0,-4,0,4,49,False,0,3,Jamal Lowe,3,MUN,1130,1120,BOU,1130,1075,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-12-23 15:00:00+00:00,0,16,0,0,0,0,18,0,910,0,3,2,0.0,0,-3,0,3,49,False,0,3,Jamal Lowe,3,NFO,1050,1080,BOU,1130,1075,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,182,0,0,0.0,0.0,2023-12-26 15:00:00+00:00,0,10,0,0,0,0,19,0,908,0,0,3,0.0,0,-2,0,2,49,True,0,3,Jamal Lowe,3,FUL,1180,1170,BOU,1055,1145,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,198,0,0,0.0,0.0,2023-12-31 14:00:00+00:00,0,18,0,0,0,0,20,0,907,0,1,3,0.0,0,0,0,0,49,False,0,3,Jamal Lowe,3,TOT,1110,1230,BOU,1130,1075,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,202,0,0,0.0,0.0,2024-01-21 16:30:00+00:00,0,11,0,0,0,0,21,0,903,0,4,0,0.0,0,-4,0,4,49,True,0,3,Jamal Lowe,3,LIV,1350,1390,BOU,1055,1145,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,217,0,0,0.0,0.0,2024-02-01 19:30:00+00:00,0,19,0,0,0,0,22,0,898,0,1,1,0.0,0,-6,0,6,49,False,0,3,Jamal Lowe,3,WHU,1055,1150,BOU,1130,1075,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,222,0,0,0.0,0.0,2024-02-04 14:00:00+00:00,0,16,0,0,0,0,23,0,895,0,1,1,0.0,0,-3,0,3,49,True,0,3,Jamal Lowe,3,NFO,1125,1080,BOU,1055,1145,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,233,0,0,0.0,0.0,2024-02-10 15:00:00+00:00,0,10,0,0,0,0,24,0,890,0,1,3,0.0,0,-5,0,5,49,False,0,3,Jamal Lowe,3,FUL,1050,1060,BOU,1130,1075,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,247,0,0,0.0,0.0,2024-02-17 15:00:00+00:00,0,15,0,0,0,0,25,0,889,0,2,2,0.0,0,-1,0,1,49,False,0,3,Jamal Lowe,3,NEW,1050,1160,BOU,1130,1075,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,253,0,0,0.0,0.0,2024-02-24 17:30:00+00:00,0,13,0,0,0,0,26,0,885,0,1,0,0.0,0,-3,0,3,49,True,0,3,Jamal Lowe,3,MCI,1360,1370,BOU,1055,1145,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,262,0,0,0.0,0.0,2024-03-03 13:00:00+00:00,0,6,0,0,0,0,27,0,883,0,2,0,0.0,0,-3,0,3,49,False,0,3,Jamal Lowe,3,BUR,1050,1040,BOU,1130,1075,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,273,0,0,0.0,0.0,2024-03-09 15:00:00+00:00,0,17,0,0,0,0,28,0,875,0,2,2,0.0,0,-6,0,6,49,True,0,3,Jamal Lowe,3,SHU,1020,1060,BOU,1055,1145,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,162,0,0,0.0,0.0,2024-03-13 19:30:00+00:00,0,12,0,0,0,0,28,0,875,0,3,4,0.0,0,-6,0,6,49,True,0,3,Jamal Lowe,3,LUT,1060,1120,BOU,1055,1145,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,292,0,0,0.0,0.0,2024-03-30 15:00:00+00:00,0,9,0,0,0,0,30,0,875,0,1,2,0.0,0,0,0,0,49,True,0,3,Jamal Lowe,3,EVE,1125,1080,BOU,1055,1145,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,302,0,0,0.0,0.0,2024-04-02 18:45:00+00:00,0,8,0,0,0,0,31,0,874,0,0,1,0.0,0,-1,0,1,49,True,0,3,Jamal Lowe,3,CRY,1120,1085,BOU,1055,1145,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,316,0,0,0.0,0.0,2024-04-06 14:00:00+00:00,0,12,0,0,0,0,32,0,873,0,1,2,0.0,0,-1,0,1,49,False,0,3,Jamal Lowe,3,LUT,1020,1090,BOU,1130,1075,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,322,0,0,0.0,0.0,2024-04-13 16:30:00+00:00,0,14,0,0,0,0,33,0,872,0,2,2,0.0,0,-1,0,1,49,True,0,3,Jamal Lowe,3,MUN,1210,1230,BOU,1055,1145,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,331,0,0,0.0,0.0,2024-04-21 14:00:00+00:00,0,2,0,0,0,0,34,0,870,0,1,3,0.0,0,-2,0,2,49,False,0,3,Jamal Lowe,3,AVL,1140,1180,BOU,1130,1075,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,290,0,0,0.0,0.0,2024-04-24 18:45:00+00:00,0,20,0,0,0,0,34,0,870,0,1,0,0.0,0,-2,0,2,49,False,0,3,Jamal Lowe,3,WOL,1085,1115,BOU,1130,1075,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,342,0,0,0.0,0.0,2024-04-28 13:00:00+00:00,0,5,0,0,0,0,35,0,867,0,0,3,0.0,0,-3,0,3,49,True,0,3,Jamal Lowe,3,BHA,1180,1240,BOU,1055,1145,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,351,0,0,0.0,0.0,2024-05-04 11:30:00+00:00,0,1,0,0,0,0,36,0,866,0,0,3,0.0,0,-1,0,1,49,False,0,3,Jamal Lowe,3,ARS,1370,1330,BOU,1130,1075,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,362,0,0,0.0,0.0,2024-05-11 14:00:00+00:00,0,4,0,0,0,0,37,0,865,0,2,1,0.0,0,-1,0,1,49,True,0,3,Jamal Lowe,3,BRE,1055,1150,BOU,1055,1145,1
0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,375,0,0,0.0,0.0,2024-05-19 15:00:00+00:00,0,7,0,0,0,0,38,0,865,0,1,2,0.0,0,0,0,0,49,False,0,3,Jamal Lowe,3,CHE,1080,1170,BOU,1130,1075,1
